anger,fear,joy,sadness,analytical,confident,tentative,negative,positive,rotx,roty,rotz,width,length,height,hue,lightness,opacity,gloss
1,0,0,1,0,0,1,0,0,353,332,105,53,69,69,54,86,91,1
0,1,0,0,1,0,0,1,0,203,295,332,82,80,14,188,56,81,0
0,0,1,0,0,1,0,0,1,276,113,286,18,54,82,243,93,14,1
1,0,0,1,0,0,1,0,0,313,71,52,88,80,61,62,69,46,0
0,1,0,0,1,0,0,1,0,78,151,186,76,95,94,227,62,95,1
0,0,1,0,0,1,0,0,1,325,152,36,73,47,47,64,86,23,0
1,0,0,1,0,0,1,0,0,34,128,281,61,81,54,107,98,51,0
0,1,0,0,1,0,0,1,0,339,132,177,3,32,67,20,94,94,0
0,0,1,0,0,1,0,0,1,245,335,73,97,50,27,99,66,28,1
1,0,0,1,0,0,1,0,0,203,98,352,99,100,58,142,93,92,0
0,1,0,0,1,0,0,1,0,294,85,247,30,63,10,175,80,60,0
0,0,1,0,0,1,0,0,1,46,41,34,87,56,65,68,86,34,0
1,0,0,1,0,0,1,0,0,174,50,172,50,67,91,235,74,41,1
0,1,0,0,1,0,0,1,0,11,298,314,87,74,48,184,72,95,1
0,0,1,0,0,1,0,0,1,71,319,343,76,46,29,114,98,76,1
1,0,0,1,0,0,1,0,0,234,197,214,40,35,39,21,98,92,1
0,1,0,0,1,0,0,1,0,156,139,297,49,88,49,201,87,97,1
0,0,1,0,0,1,0,0,1,254,340,98,50,47,67,219,57,81,0
1,0,0,1,0,0,1,0,0,220,72,51,10,67,32,28,87,21,1
0,1,0,0,1,0,0,1,0,20,129,263,48,37,98,2,63,71,1
0,0,1,0,0,1,0,0,1,264,221,147,61,30,97,188,83,89,0
1,0,0,1,0,0,1,0,0,189,47,145,74,0,48,240,66,2,0
0,1,0,0,1,0,0,1,0,47,185,132,21,19,22,120,83,95,1
0,0,1,0,0,1,0,0,1,226,30,89,85,16,46,121,87,38,0
1,0,0,1,0,0,1,0,0,317,129,191,33,70,42,198,94,78,0
0,1,0,0,1,0,0,1,0,337,19,136,8,61,81,230,52,2,1
0,0,1,0,0,1,0,0,1,329,48,150,61,50,22,182,81,27,1
1,0,0,1,0,0,1,0,0,314,217,347,31,84,60,203,58,94,1
0,1,0,0,1,0,0,1,0,144,323,197,98,35,76,49,72,94,0
0,0,1,0,0,1,0,0,1,290,185,35,30,65,7,182,65,86,1
1,0,0,1,0,0,1,0,0,318,148,348,54,21,79,233,50,76,1
0,1,0,0,1,0,0,1,0,194,213,325,98,1,29,55,55,35,0
0,0,1,0,0,1,0,0,1,64,233,79,63,72,43,109,56,68,0
1,0,0,1,0,0,1,0,0,123,164,311,82,94,97,121,69,35,1
0,1,0,0,1,0,0,1,0,215,334,284,13,70,87,213,97,23,0
0,0,1,0,0,1,0,0,1,355,85,155,99,52,49,123,90,84,1
1,0,0,1,0,0,1,0,0,212,114,221,5,25,64,17,53,51,1
0,1,0,0,1,0,0,1,0,205,203,67,46,73,6,204,98,7,0
0,0,1,0,0,1,0,0,1,303,120,330,89,100,35,168,97,7,0
1,0,0,1,0,0,1,0,0,349,73,306,94,35,29,175,89,100,1
0,1,0,0,1,0,0,1,0,52,42,188,22,45,80,132,80,35,0
0,0,1,0,0,1,0,0,1,74,237,21,33,91,36,46,57,95,1
1,0,0,1,0,0,1,0,0,42,70,271,30,22,54,70,60,45,0
0,1,0,0,1,0,0,1,0,62,271,262,22,27,20,114,86,79,1
0,0,1,0,0,1,0,0,1,34,162,354,1,98,3,207,71,29,1
1,0,0,1,0,0,1,0,0,61,190,60,89,7,51,231,99,28,0
0,1,0,0,1,0,0,1,0,98,27,127,35,47,53,214,75,15,1
0,0,1,0,0,1,0,0,1,302,333,227,72,6,34,206,100,26,1
1,0,0,1,0,0,1,0,0,75,90,197,83,98,44,148,82,9,1
0,1,0,0,1,0,0,1,0,337,250,42,79,16,15,71,84,15,1
0,0,1,0,0,1,0,0,1,102,237,151,100,11,1,177,77,95,0
1,0,0,1,0,0,1,0,0,302,337,187,24,22,41,9,99,84,0
0,1,0,0,1,0,0,1,0,10,10,301,88,17,5,143,99,60,0
0,0,1,0,0,1,0,0,1,92,140,310,18,51,46,223,83,58,1
1,0,0,1,0,0,1,0,0,288,150,76,67,52,22,10,90,23,0
0,1,0,0,1,0,0,1,0,185,75,100,95,31,52,247,53,62,1
0,0,1,0,0,1,0,0,1,14,61,144,59,5,77,183,95,93,1
1,0,0,1,0,0,1,0,0,177,66,293,53,53,99,31,60,18,1
0,1,0,0,1,0,0,1,0,351,269,46,84,46,59,125,70,9,0
0,0,1,0,0,1,0,0,1,117,21,93,15,90,47,238,60,75,1
1,0,0,1,0,0,1,0,0,167,290,29,49,70,90,208,50,67,1
0,1,0,0,1,0,0,1,0,344,294,51,34,17,12,182,52,47,1
0,0,1,0,0,1,0,0,1,30,325,243,45,0,29,71,69,89,1
1,0,0,1,0,0,1,0,0,40,224,270,15,92,58,174,89,60,0
0,1,0,0,1,0,0,1,0,334,316,276,64,35,87,77,55,52,1
0,0,1,0,0,1,0,0,1,66,84,286,43,14,67,123,61,46,0
1,0,0,1,0,0,1,0,0,249,156,166,99,15,36,236,99,44,1
0,1,0,0,1,0,0,1,0,153,188,177,91,25,80,243,79,60,1
0,0,1,0,0,1,0,0,1,308,210,17,20,20,96,105,94,23,0
1,0,0,1,0,0,1,0,0,18,93,236,39,98,30,97,74,94,1
0,1,0,0,1,0,0,1,0,103,354,37,27,25,100,19,95,5,0
0,0,1,0,0,1,0,0,1,295,234,66,27,77,94,78,63,36,0
1,0,0,1,0,0,1,0,0,75,172,95,16,64,56,182,52,27,0
0,1,0,0,1,0,0,1,0,335,39,47,93,52,69,92,77,26,1
0,0,1,0,0,1,0,0,1,35,147,43,14,23,74,159,83,92,1
1,0,0,1,0,0,1,0,0,192,237,6,1,72,62,65,91,52,0
0,1,0,0,1,0,0,1,0,61,336,83,85,3,72,179,59,62,1
0,0,1,0,0,1,0,0,1,333,252,14,80,46,29,131,69,46,0
1,0,0,1,0,0,1,0,0,10,123,194,13,48,61,115,78,69,1
0,1,0,0,1,0,0,1,0,101,352,294,62,8,1,49,59,31,1
0,0,1,0,0,1,0,0,1,149,194,164,97,16,1,183,100,53,1
1,0,0,1,0,0,1,0,0,129,273,158,42,50,10,255,51,12,1
0,1,0,0,1,0,0,1,0,335,16,133,6,80,91,196,74,22,1
0,0,1,0,0,1,0,0,1,34,235,126,16,52,53,239,63,47,1
1,0,0,1,0,0,1,0,0,341,99,208,24,48,87,13,53,84,1
0,1,0,0,1,0,0,1,0,80,298,179,93,97,58,134,83,45,0
0,0,1,0,0,1,0,0,1,328,159,30,42,77,1,178,91,30,1
1,0,0,1,0,0,1,0,0,135,313,246,50,20,27,26,59,60,0
0,1,0,0,1,0,0,1,0,300,339,232,77,80,90,56,84,92,0
0,0,1,0,0,1,0,0,1,131,231,325,56,43,96,58,80,85,0
1,0,0,1,0,0,1,0,0,335,304,4,3,82,87,135,92,19,0
0,1,0,0,1,0,0,1,0,113,292,91,34,83,80,123,72,34,0
0,0,1,0,0,1,0,0,1,254,149,54,29,42,7,30,99,30,1
1,0,0,1,0,0,1,0,0,180,245,267,77,62,3,195,53,50,1
0,1,0,0,1,0,0,1,0,299,207,277,9,56,1,53,80,94,1
0,0,1,0,0,1,0,0,1,312,146,173,54,29,24,223,88,17,1
1,0,0,1,0,0,1,0,0,259,304,309,55,46,39,108,78,24,1
0,1,0,0,1,0,0,1,0,349,178,342,56,85,43,102,88,33,1
0,0,1,0,0,1,0,0,1,247,92,30,10,26,47,163,71,33,0
1,0,0,1,0,0,1,0,0,88,205,118,16,57,35,170,95,68,0
0,1,0,0,1,0,0,1,0,168,233,36,57,62,53,114,84,22,0
0,0,1,0,0,1,0,0,1,121,352,220,55,48,47,157,56,8,0
1,0,0,1,0,0,1,0,0,236,2,252,90,69,73,204,95,36,0
0,1,0,0,1,0,0,1,0,292,269,66,8,25,40,119,72,35,0
0,0,1,0,0,1,0,0,1,132,221,240,70,100,48,169,53,42,1
1,0,0,1,0,0,1,0,0,216,317,168,58,70,37,123,81,55,0
0,1,0,0,1,0,0,1,0,200,33,272,98,43,17,31,72,86,0
0,0,1,0,0,1,0,0,1,272,16,314,52,94,2,182,85,80,0
1,0,0,1,0,0,1,0,0,114,7,112,73,33,20,102,70,85,1
0,1,0,0,1,0,0,1,0,232,258,332,3,19,70,197,97,92,1
0,0,1,0,0,1,0,0,1,347,360,222,82,42,29,46,51,44,0
1,0,0,1,0,0,1,0,0,263,236,105,29,65,79,16,73,42,0
0,1,0,0,1,0,0,1,0,244,297,268,89,44,20,99,95,36,1
0,0,1,0,0,1,0,0,1,70,269,266,72,73,77,24,83,24,1
1,0,0,1,0,0,1,0,0,3,324,42,87,41,68,139,90,2,1
0,1,0,0,1,0,0,1,0,346,360,194,66,85,35,230,92,15,1
0,0,1,0,0,1,0,0,1,67,164,48,34,2,14,118,61,94,0
1,0,0,1,0,0,1,0,0,61,274,129,66,64,51,17,75,98,1
0,1,0,0,1,0,0,1,0,336,266,58,94,22,76,161,93,1,0
0,0,1,0,0,1,0,0,1,295,349,289,99,39,57,192,80,67,1
1,0,0,1,0,0,1,0,0,22,265,97,75,48,2,51,82,82,1
0,1,0,0,1,0,0,1,0,240,115,193,35,68,32,143,67,18,0
0,0,1,0,0,1,0,0,1,40,13,297,82,1,77,96,59,43,0
1,0,0,1,0,0,1,0,0,51,165,174,45,100,97,236,52,21,1
0,1,0,0,1,0,0,1,0,134,249,31,91,32,65,101,65,36,0
0,0,1,0,0,1,0,0,1,154,163,157,74,56,21,145,90,86,1
1,0,0,1,0,0,1,0,0,215,183,163,61,97,96,255,52,76,0
0,1,0,0,1,0,0,1,0,296,271,110,12,53,98,243,93,59,0
0,0,1,0,0,1,0,0,1,263,286,228,96,42,39,193,74,55,1
1,0,0,1,0,0,1,0,0,237,1,11,64,39,44,64,54,29,1
0,1,0,0,1,0,0,1,0,346,117,288,12,63,76,68,89,60,0
0,0,1,0,0,1,0,0,1,90,165,15,33,21,58,163,72,17,1
1,0,0,1,0,0,1,0,0,164,118,163,6,43,90,211,67,54,0
0,1,0,0,1,0,0,1,0,197,195,302,43,26,57,206,66,9,1
0,0,1,0,0,1,0,0,1,15,226,283,42,85,55,137,98,86,0
1,0,0,1,0,0,1,0,0,110,107,282,58,51,42,185,53,56,0
0,1,0,0,1,0,0,1,0,262,25,7,26,1,5,255,62,47,1
0,0,1,0,0,1,0,0,1,244,71,171,62,86,0,203,92,67,1
1,0,0,1,0,0,1,0,0,101,171,165,97,82,51,85,91,24,1
0,1,0,0,1,0,0,1,0,164,220,46,19,22,90,20,67,23,0
0,0,1,0,0,1,0,0,1,209,164,34,39,72,38,48,78,13,0
1,0,0,1,0,0,1,0,0,279,325,257,22,67,42,103,61,48,1
0,1,0,0,1,0,0,1,0,87,350,194,56,45,71,59,89,43,1
0,0,1,0,0,1,0,0,1,143,86,356,65,49,61,128,81,3,1
1,0,0,1,0,0,1,0,0,101,272,299,35,99,92,35,88,45,0
0,1,0,0,1,0,0,1,0,345,47,278,11,2,78,240,91,49,0
0,0,1,0,0,1,0,0,1,202,259,56,44,68,99,208,63,71,0
1,0,0,1,0,0,1,0,0,152,154,309,35,13,8,208,77,39,0
0,1,0,0,1,0,0,1,0,119,203,358,26,23,33,47,52,32,1
0,0,1,0,0,1,0,0,1,223,307,245,1,47,16,115,100,59,1
1,0,0,1,0,0,1,0,0,226,46,239,35,46,12,165,50,0,1
0,1,0,0,1,0,0,1,0,114,144,185,35,86,4,238,88,89,1
0,0,1,0,0,1,0,0,1,104,5,4,94,3,26,39,80,2,0
1,0,0,1,0,0,1,0,0,253,58,162,35,69,51,30,63,34,1
0,1,0,0,1,0,0,1,0,123,110,294,43,15,61,158,67,62,0
0,0,1,0,0,1,0,0,1,77,229,60,8,13,50,12,87,90,1
1,0,0,1,0,0,1,0,0,224,284,94,63,21,93,27,55,43,0
0,1,0,0,1,0,0,1,0,317,30,229,19,11,100,85,62,6,1
0,0,1,0,0,1,0,0,1,218,168,91,16,99,17,107,79,65,0
1,0,0,1,0,0,1,0,0,78,66,334,48,83,11,222,81,81,1
0,1,0,0,1,0,0,1,0,23,322,284,22,78,78,223,58,14,0
0,0,1,0,0,1,0,0,1,189,49,225,11,92,98,9,59,29,1
1,0,0,1,0,0,1,0,0,217,287,339,17,97,6,169,75,85,1
0,1,0,0,1,0,0,1,0,12,341,130,67,23,1,15,54,74,1
0,0,1,0,0,1,0,0,1,123,235,248,70,5,95,183,61,85,1
1,0,0,1,0,0,1,0,0,16,160,228,22,83,59,242,81,28,1
0,1,0,0,1,0,0,1,0,204,255,43,11,73,51,237,92,37,1
0,0,1,0,0,1,0,0,1,56,230,201,2,84,77,187,68,66,1
1,0,0,1,0,0,1,0,0,218,19,118,63,73,73,223,76,81,1
0,1,0,0,1,0,0,1,0,82,273,338,72,70,33,201,83,1,1
0,0,1,0,0,1,0,0,1,123,120,176,34,81,35,4,70,19,0
1,0,0,1,0,0,1,0,0,70,339,312,74,12,91,212,93,97,1
0,1,0,0,1,0,0,1,0,247,315,22,90,6,15,143,72,45,1
0,0,1,0,0,1,0,0,1,288,49,146,62,100,47,115,57,56,1
1,0,0,1,0,0,1,0,0,55,272,138,92,24,51,200,68,94,0
0,1,0,0,1,0,0,1,0,90,156,303,39,23,50,178,68,17,0
0,0,1,0,0,1,0,0,1,15,203,118,63,44,8,183,59,17,0
1,0,0,1,0,0,1,0,0,102,11,222,24,0,86,92,50,50,1
0,1,0,0,1,0,0,1,0,280,117,105,9,83,96,63,88,37,1
0,0,1,0,0,1,0,0,1,1,31,238,41,44,26,3,87,65,0
1,0,0,1,0,0,1,0,0,142,332,280,59,13,68,213,82,94,1
0,1,0,0,1,0,0,1,0,223,23,120,31,54,45,2,92,91,0
0,0,1,0,0,1,0,0,1,293,313,159,11,98,18,35,82,30,1
1,0,0,1,0,0,1,0,0,101,158,96,46,20,99,130,69,48,1
0,1,0,0,1,0,0,1,0,16,350,222,83,41,57,84,69,32,1
0,0,1,0,0,1,0,0,1,226,99,34,72,17,78,141,92,36,1
1,0,0,1,0,0,1,0,0,294,63,347,36,79,71,131,56,27,0
0,1,0,0,1,0,0,1,0,185,23,48,58,95,49,144,65,74,0
0,0,1,0,0,1,0,0,1,133,111,187,42,22,3,64,90,92,0
1,0,0,1,0,0,1,0,0,259,133,321,91,9,79,48,80,6,1
0,1,0,0,1,0,0,1,0,317,172,330,48,11,48,9,83,24,1
0,0,1,0,0,1,0,0,1,131,238,139,58,15,78,217,50,40,0
1,0,0,1,0,0,1,0,0,108,140,60,77,18,88,127,92,4,1
0,1,0,0,1,0,0,1,0,217,94,312,17,44,68,140,53,72,1
0,0,1,0,0,1,0,0,1,229,18,204,26,22,72,58,51,61,1
1,0,0,1,0,0,1,0,0,101,300,128,13,49,6,172,87,19,1
0,1,0,0,1,0,0,1,0,119,326,19,27,96,63,124,55,50,0
0,0,1,0,0,1,0,0,1,292,151,314,17,21,93,240,74,40,1
1,0,0,1,0,0,1,0,0,264,56,129,14,11,24,45,96,83,0
0,1,0,0,1,0,0,1,0,148,232,146,87,3,75,141,98,34,0
0,0,1,0,0,1,0,0,1,128,141,77,18,94,53,193,68,18,1
1,0,0,1,0,0,1,0,0,78,150,178,94,10,92,215,54,9,0
0,1,0,0,1,0,0,1,0,220,285,151,56,63,11,103,54,35,1
0,0,1,0,0,1,0,0,1,205,72,348,29,74,97,220,82,7,0
1,0,0,1,0,0,1,0,0,187,256,128,21,10,94,43,94,83,0
0,1,0,0,1,0,0,1,0,148,277,352,85,82,99,75,92,69,0
0,0,1,0,0,1,0,0,1,284,220,309,96,62,20,232,89,99,1
1,0,0,1,0,0,1,0,0,178,246,97,50,8,26,22,85,31,0
0,1,0,0,1,0,0,1,0,173,309,103,47,51,13,61,57,35,1
0,0,1,0,0,1,0,0,1,13,85,342,36,47,76,36,89,90,1
1,0,0,1,0,0,1,0,0,317,165,287,48,39,90,3,95,56,1
0,1,0,0,1,0,0,1,0,246,298,88,11,6,18,81,82,55,1
0,0,1,0,0,1,0,0,1,226,307,219,88,60,59,130,63,82,0
1,0,0,1,0,0,1,0,0,265,308,191,63,66,43,81,53,3,0
0,1,0,0,1,0,0,1,0,125,242,294,5,17,59,83,51,13,0
0,0,1,0,0,1,0,0,1,139,141,131,88,17,37,32,55,46,0
1,0,0,1,0,0,1,0,0,100,41,137,75,40,0,50,92,14,1
0,1,0,0,1,0,0,1,0,123,101,261,97,74,44,111,61,42,1
0,0,1,0,0,1,0,0,1,100,46,168,19,1,94,228,91,57,0
1,0,0,1,0,0,1,0,0,124,303,7,78,1,27,235,69,97,1
0,1,0,0,1,0,0,1,0,149,283,319,20,26,8,245,68,89,1
0,0,1,0,0,1,0,0,1,123,170,140,84,49,46,218,95,40,0
1,0,0,1,0,0,1,0,0,204,233,201,61,73,46,188,91,63,0
0,1,0,0,1,0,0,1,0,293,187,56,80,66,23,34,72,1,1
0,0,1,0,0,1,0,0,1,84,2,226,72,57,41,58,62,20,0
1,0,0,1,0,0,1,0,0,147,151,129,76,31,20,117,56,37,1
0,1,0,0,1,0,0,1,0,176,329,100,0,98,82,23,59,65,0
0,0,1,0,0,1,0,0,1,108,204,164,51,29,4,115,70,36,1
1,0,0,1,0,0,1,0,0,263,339,168,47,49,94,153,70,69,0
0,1,0,0,1,0,0,1,0,22,90,120,22,25,12,16,68,55,0
0,0,1,0,0,1,0,0,1,26,198,180,25,2,78,229,77,75,1
1,0,0,1,0,0,1,0,0,94,7,149,100,46,82,54,57,63,0
0,1,0,0,1,0,0,1,0,162,268,33,24,74,94,133,76,59,0
0,0,1,0,0,1,0,0,1,9,71,127,100,34,99,28,64,36,1
1,0,0,1,0,0,1,0,0,202,130,90,89,5,30,183,63,47,0
0,1,0,0,1,0,0,1,0,208,24,333,99,18,62,244,90,25,1
0,0,1,0,0,1,0,0,1,318,106,38,3,64,41,20,87,96,1
1,0,0,1,0,0,1,0,0,349,255,188,84,41,26,247,58,25,1
0,1,0,0,1,0,0,1,0,357,5,27,71,40,74,196,77,10,0
0,0,1,0,0,1,0,0,1,131,277,318,83,73,53,184,72,45,1
1,0,0,1,0,0,1,0,0,68,231,228,35,70,68,141,64,47,1
0,1,0,0,1,0,0,1,0,230,184,214,90,42,45,171,90,99,1
0,0,1,0,0,1,0,0,1,68,234,307,91,14,40,149,52,13,1
1,0,0,1,0,0,1,0,0,19,153,175,63,85,49,81,59,40,1
0,1,0,0,1,0,0,1,0,202,228,270,22,75,20,84,53,97,1
0,0,1,0,0,1,0,0,1,113,219,278,0,32,66,80,83,12,0
1,0,0,1,0,0,1,0,0,144,344,233,51,46,99,192,60,97,0
0,1,0,0,1,0,0,1,0,51,175,175,79,35,14,103,67,49,1
0,0,1,0,0,1,0,0,1,23,44,337,98,80,23,27,99,7,1
1,0,0,1,0,0,1,0,0,238,324,273,96,67,42,201,81,29,0
0,1,0,0,1,0,0,1,0,158,99,170,79,79,52,77,99,57,1
0,0,1,0,0,1,0,0,1,107,0,251,26,96,46,106,75,96,0
1,0,0,1,0,0,1,0,0,287,161,177,22,84,60,87,54,31,1
0,1,0,0,1,0,0,1,0,262,239,265,68,21,4,140,98,55,0
0,0,1,0,0,1,0,0,1,183,88,18,94,60,68,142,67,78,0
1,0,0,1,0,0,1,0,0,260,251,169,21,13,50,253,94,7,1
0,1,0,0,1,0,0,1,0,335,217,41,78,56,84,145,95,27,0
0,0,1,0,0,1,0,0,1,330,79,126,81,75,95,160,91,78,1
1,0,0,1,0,0,1,0,0,262,51,94,56,4,98,152,86,50,0
0,1,0,0,1,0,0,1,0,298,44,251,90,41,44,121,82,19,1
0,0,1,0,0,1,0,0,1,226,269,272,4,99,10,199,76,100,0
1,0,0,1,0,0,1,0,0,48,306,105,90,12,89,188,51,39,1
0,1,0,0,1,0,0,1,0,9,9,216,53,59,55,60,76,90,0
0,0,1,0,0,1,0,0,1,89,291,15,44,41,57,132,77,37,0
1,0,0,1,0,0,1,0,0,293,28,205,83,21,100,193,85,40,0
0,1,0,0,1,0,0,1,0,88,178,109,90,51,57,168,80,34,1
0,0,1,0,0,1,0,0,1,105,85,282,8,35,91,238,56,29,0
1,0,0,1,0,0,1,0,0,78,320,325,66,38,58,129,94,72,1
0,1,0,0,1,0,0,1,0,166,86,0,87,90,58,57,57,94,0
0,0,1,0,0,1,0,0,1,57,302,236,3,3,3,176,65,48,0
1,0,0,1,0,0,1,0,0,199,131,212,78,49,40,7,98,32,1
0,1,0,0,1,0,0,1,0,38,231,159,5,52,93,226,53,41,1
0,0,1,0,0,1,0,0,1,182,216,336,94,43,41,221,83,16,1
1,0,0,1,0,0,1,0,0,237,40,116,38,29,55,235,53,67,0
0,1,0,0,1,0,0,1,0,180,114,79,89,40,55,212,80,49,1
0,0,1,0,0,1,0,0,1,269,26,252,12,77,14,227,95,90,1
1,0,0,1,0,0,1,0,0,114,239,175,20,70,23,58,57,46,0
0,1,0,0,1,0,0,1,0,345,120,15,1,84,77,162,75,20,1
0,0,1,0,0,1,0,0,1,345,130,242,86,66,69,1,57,85,0
1,0,0,1,0,0,1,0,0,261,6,168,22,15,81,88,71,5,1
0,1,0,0,1,0,0,1,0,208,338,101,95,74,27,69,76,65,0
0,0,1,0,0,1,0,0,1,250,292,143,99,2,97,207,91,6,0
1,0,0,1,0,0,1,0,0,223,102,29,57,45,15,105,69,70,1
0,1,0,0,1,0,0,1,0,177,116,341,66,77,9,133,69,82,0
0,0,1,0,0,1,0,0,1,149,70,283,81,7,13,148,65,47,0
1,0,0,1,0,0,1,0,0,273,121,344,75,1,62,47,88,57,1
0,1,0,0,1,0,0,1,0,18,10,245,52,61,17,181,61,10,1
0,0,1,0,0,1,0,0,1,182,61,334,16,83,22,239,64,72,0
1,0,0,1,0,0,1,0,0,347,25,12,26,18,92,40,53,75,1
0,1,0,0,1,0,0,1,0,274,8,51,69,75,16,176,76,73,0
0,0,1,0,0,1,0,0,1,4,55,211,76,38,11,250,58,22,0
1,0,0,1,0,0,1,0,0,20,39,74,38,24,43,28,99,11,0
0,1,0,0,1,0,0,1,0,294,88,63,40,7,10,110,79,11,0
0,0,1,0,0,1,0,0,1,215,204,115,51,12,23,120,53,55,1
1,0,0,1,0,0,1,0,0,20,154,262,54,2,75,61,91,26,1
0,1,0,0,1,0,0,1,0,252,55,186,15,75,87,26,78,2,1
0,0,1,0,0,1,0,0,1,147,137,40,47,43,68,82,87,80,0
1,0,0,1,0,0,1,0,0,244,195,330,64,18,92,215,88,93,1
0,1,0,0,1,0,0,1,0,300,302,79,44,44,13,205,71,61,0
0,0,1,0,0,1,0,0,1,126,46,17,91,9,58,120,83,38,0
1,0,0,1,0,0,1,0,0,30,20,37,34,19,3,33,98,37,1
0,1,0,0,1,0,0,1,0,342,226,45,88,52,1,167,79,70,0
0,0,1,0,0,1,0,0,1,233,330,230,26,23,93,137,87,43,1
1,0,0,1,0,0,1,0,0,97,180,30,86,88,63,248,88,46,1
0,1,0,0,1,0,0,1,0,138,224,117,83,31,36,162,75,89,1
0,0,1,0,0,1,0,0,1,240,213,321,52,43,3,165,70,55,1
1,0,0,1,0,0,1,0,0,237,43,63,98,55,41,92,63,90,0
0,1,0,0,1,0,0,1,0,38,47,277,9,76,48,251,53,7,0
0,0,1,0,0,1,0,0,1,58,327,85,96,49,5,252,93,86,0
1,0,0,1,0,0,1,0,0,102,222,99,51,75,30,57,79,18,1
0,1,0,0,1,0,0,1,0,203,189,33,17,71,63,190,53,99,0
0,0,1,0,0,1,0,0,1,17,270,117,60,8,18,11,100,80,1
1,0,0,1,0,0,1,0,0,99,28,28,88,30,48,235,74,33,0
0,1,0,0,1,0,0,1,0,187,269,169,28,92,68,239,53,9,0
